file_name,label
000,9
001,9
002,6
003,6
004,7
005,6
006,0
007,5
008,6
009,0
010,6
011,6
012,1
013,5
014,6
015,1
016,6
017,6
018,7
019,2
020,6
021,8
022,6
023,9
024,9
025,9
026,9
027,9
028,9
029,9
030,0
031,5
032,1
033,0
034,5
035,0
036,0
037,5
038,0
039,0
040,7
041,6
042,5
043,5
044,5
045,0
046,5
047,0
048,5
049,5
050,0
051,0
052,6
053,5
054,0
055,0
056,0
057,0
058,4
059,0
060,7
061,1
062,1
063,6
064,6
065,1
066,6
067,1
068,7
069,6
070,1
071,1
072,0
073,8
074,5
075,0
076,8
077,7
078,9
079,1
080,1
081,9
082,6
083,9
084,7
085,0
086,0
087,6
088,5
089,0
090,6
091,6
092,6
093,6
094,5
095,5
096,6
097,5
098,9
099,6
100,6
101,6
102,6
103,6
104,6
105,7
106,5
107,5
108,6
109,6
110,6
111,6
112,6
113,6
114,6
115,6
116,6
117,6
118,6
119,10
120,1
121,2
122,10
123,1
124,1
125,5
126,1
127,5
128,1
129,0
130,10
131,2
132,2
133,1
134,6
135,0
136,5
137,1
138,10
139,1
140,1
141,1
142,5
143,1
144,1
145,2
146,1
147,5
148,1
149,1
150,6
151,1
152,10
153,10
154,1
155,1
156,1
157,10
158,1
159,5
160,3
161,1
162,10
163,1
164,1
165,0
166,3
167,1
168,0
169,6
170,10
171,10
172,10
173,10
174,5
175,10
176,10
177,10
178,10
179,10
180,10
181,6
182,10
183,10
184,10
185,10
186,7
187,7
188,8
189,0
190,0
191,7
192,7
193,0
194,0
195,8
196,0
197,7
198,6
199,6
200,8
201,6
202,0
203,0
204,0
205,0
206,7
207,8
208,8
209,7
210,7
211,8
212,8
213,8
214,7
215,8
216,3
217,4
218,3
219,9
220,3
221,7
222,4
223,4
224,6
225,3
226,3
227,7
228,7
229,4
230,4
231,4
232,4
233,4
234,3
235,4
236,7
237,0
238,4
239,4
240,4
241,6
242,4
243,3
244,4
245,4
246,7
247,3
248,2
249,7
250,2
251,7
252,3
253,3
254,7
255,3
256,1
257,3
258,7
259,3
260,3
261,3
262,3
263,7
264,3
265,3
266,3
267,3
268,7
269,5
270,2
271,2
272,2
273,2
274,8
275,2
276,2
277,5
278,2
279,2
280,1
281,3
282,2
283,2
284,2
285,2
286,2
287,7
288,3
289,3
290,2
291,6
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,5
301,5
302,9
303,6
304,5
305,5
306,5
307,10
308,5
309,5
310,5
311,5
312,10
313,5
314,0
315,10
316,5
317,5
318,6
319,5
320,9
321,6
322,5
323,5
324,6
325,10
326,5
327,6
328,5
329,5
